[run number],1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
capacity,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
num-parents,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
distance-buffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
num-schools,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
[reporter],count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents,count parents with [first-choice = enrolled] / num-parents
[final],0.522,0.534,0.53,0.564,0.514,0.502,0.578,0.576,0.534,0.538,0.576,0.58,0.586,0.444,0.476,0.524,0.568,0.522,0.522,0.546,0.578,0.35,0.562,0.498,0.486,0.506,0.582,0.492,0.456,0.396,0.452,0.494,0.462,0.434,0.414,0.52,0.436,0.446,0.526,0.438,0.438,0.294,0.236,0.406,0.39,0.358,0.282,0.324,0.394,0.444,0.376,0.462,0.324,0.358,0.464,0.312,0.226,0.378,0.29,0.544,0.234,0.316,0.398,0.146,0.268,0.272,0.282,0.31,0.292,0.372,0.3,0.232,0.282,0.336,0.354,0.274,0.296,0.28,0.266,0.28,0.358,0.208,0.274,0.31,0.332,0.25,0.392,0.328,0.382,0.306,0.244,0.306,0.256,0.292,0.292,0.256,0.256,0.286,0.286,0.244
[min],0.522,0.534,0.53,0.564,0.514,0.502,0.578,0.576,0.534,0.538,0.576,0.58,0.586,0.444,0.476,0.524,0.568,0.522,0.522,0.546,0.578,0.35,0.562,0.498,0.486,0.506,0.582,0.492,0.456,0.396,0.452,0.494,0.462,0.434,0.414,0.52,0.436,0.446,0.526,0.438,0.438,0.294,0.236,0.406,0.39,0.358,0.282,0.324,0.394,0.444,0.376,0.462,0.324,0.358,0.464,0.312,0.226,0.378,0.29,0.544,0.234,0.316,0.398,0.146,0.268,0.272,0.282,0.31,0.292,0.372,0.3,0.232,0.282,0.336,0.354,0.274,0.296,0.28,0.266,0.28,0.358,0.208,0.274,0.31,0.332,0.25,0.392,0.328,0.382,0.306,0.244,0.306,0.256,0.292,0.292,0.256,0.256,0.286,0.286,0.244
[max],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[mean],0.6176,0.611666667,0.624,0.6512,0.6112,0.6016,0.6624,0.6608,0.6272,0.615,0.646666667,0.65,0.6688,0.5552,0.607,0.603333333,0.6544,0.6176,0.6176,0.621666667,0.6772,0.498,0.6632,0.6455,0.597,0.6264,0.6748,0.6116,0.596,0.542,0.5852,0.6345,0.5816,0.5788,0.5616,0.632,0.6004,0.5724,0.6276,0.6115,0.569333333,0.474666667,0.4508,0.563,0.574,0.538,0.5052,0.5332,0.5712,0.616,0.5488,0.6384,0.5132,0.581,0.6196,0.56,0.4352,0.562,0.5008,0.6728,0.4656,0.490666667,0.588666667,0.3844,0.488333333,0.4852,0.502666667,0.5224,0.5212,0.5532,0.489,0.4544,0.520333333,0.5536,0.5876,0.4824,0.516666667,0.494,0.454666667,0.5196,0.572,0.4492,0.4808,0.5108,0.5376,0.4728,0.571333333,0.5472,0.592,0.508666667,0.4612,0.5492,0.4908,0.545,0.5124,0.5012,0.4876,0.52,0.5072,0.47
[steps],4,5,4,4,4,4,4,4,4,5,5,5,4,4,3,5,4,4,4,5,4,4,4,3,5,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,5,5,4,5,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,5,5,4,5,4,5,4,4,4,5,4,5,4,4,4,5,4,5,4,5,4,4,4,4,4,5,4,3,5,4,4,4,3,4,4,4,4,4,4
